Degree,Specialization,CGPA,Job_Role
B.Tech,Chemical Engineering,9.72,Process Design Engineer
B.Tech,Mechanical Engineering,6.53,Maintenance Technician
B.Tech,Mining Engineering,6.02,Safety Inspector
M.Sc,Mathematics,7.99,Mathematics Professor
B.Tech,Biotechnology,9.67,Senior Scientist
M.Tech,Textile Engineering,6.48,Textile Designer
B.Tech,Marine Engineering,6.19,Ship Maintenance
M.Sc,Radiology,9.94,Senior Radiologist
B.Sc,Radiology,6.24,X-Ray Assistant
M.Sc,Computer Science,9.65,Database Admin
B.Tech,Chemical Engineering,7.57,Chemical Plant Operator
B.Tech,Civil Engineering,6.57,Draftsman
B.Tech,Environmental Engineering,9.11,Sustainability Consultant
B.Sc,Statistics,7.21,Senior Optometrist
B.Tech,Aeronautical Engineering,7.75,Aircraft Maintenance Engineer
M.Sc,Statistics,8.55,Data Analyst
M.Sc,Anesthesia Technology,7.98,Anesthesia Technician
B.Tech,Metallurgical Engineering,7.45,Quality Control
M.Tech,Metallurgical Engineering,7.4,Safety Inspector
M.Tech,Biomedical Engineering,7.01,Equipment Technician
M.Tech,Aerospace Engineering,7.96,Satellite Controller
B.Sc,Operation Theatre Technology,6.83,Fiber Scientist
B.Tech,Civil Engineering,8.96,Structural Engineer
M.Tech,Environmental Engineering,6.45,Waste Manager
M.Tech,Marine Engineering,8.11,Marine Engineer
B.Tech,Petroleum Engineering,9.97,Reservoir Engineer
B.Sc,Statistics,8.62,Data Analyst
M.Tech,Textile Engineering,8.54,Fiber Scientist
M.Tech,Electronics and Communication Engineering,8.0,Electronics Engineer
B.Tech,Petroleum Engineering,6.52,Site Supervisor
B.Tech,Environmental Engineering,7.74,Web Developer
M.Tech,Mechanical Engineering,6.8,Maintenance Technician
M.Tech,Biotechnology,8.45,Bioprocess Engineer
M.Sc,Physics,8.29,Physics Teacher
B.Sc,Computer Science,8.27,Systems Analyst
M.Sc,Anesthesia Technology,7.35,Medical Assistant
B.Tech,Computer Science and Engineering,8.45,Software Engineer
B.Tech,Metallurgical Engineering,7.78,Process Metallurgist
B.Sc,Optometry,9.28,Senior Optometrist
B.Tech,Electrical and Electronics Engineering,9.84,Power Systems Engineer
B.Tech,Chemical Engineering,7.03,Safety Officer
B.Sc,Optometry,7.89,Eye Consultant
M.Sc,Mathematics,8.43,Mathematics Professor
M.Sc,Statistics,8.53,Statistical Modeler
M.Tech,Information Technology,8.99,Solutions Architect
M.Tech,Biotechnology,9.52,Senior Scientist
M.Tech,Biomedical Engineering,6.79,Phlebotomist
M.Sc,Operation Theatre Technology,6.91,Surgical Assistant
M.Sc,Medical Laboratory Technology,9.07,Satellite Controller
B.Sc,Statistics,8.08,Survey Researcher
B.Sc,Dialysis Technology,9.95,Dialysis Specialist
M.Sc,Chemistry,9.16,Sustainability Consultant
M.Tech,Chemical Engineering,6.06,Safety Officer
M.Tech,Marine Engineering,6.65,Ship Maintenance
M.Tech,Biotechnology,9.29,Senior Scientist
B.Tech,Aerospace Engineering,9.75,Spacecraft Systems Engineer
B.Tech,Petroleum Engineering,9.32,Reservoir Engineer
B.Tech,Petroleum Engineering,8.7,Reservoir Engineer
B.Sc,Physics,7.35,Lab Technician
B.Sc,Operation Theatre Technology,8.71,OT Manager
M.Tech,Textile Engineering,8.05,Production Manager
M.Sc,Anesthesia Technology,6.53,Medical Assistant
M.Tech,Environmental Engineering,7.63,Environmental Engineer
M.Sc,Forensic Science,8.44,Crime Scene Investigator
M.Sc,Optometry,9.41,Senior Optometrist
B.Tech,Petroleum Engineering,6.76,Site Supervisor
B.Tech,Electrical and Electronics Engineering,6.4,Maintenance Engineer
M.Sc,Electronics,6.16,Testing Assistant
B.Sc,Optometry,9.39,Senior Optometrist
B.Tech,Textile Engineering,8.66,Draftsman
B.Sc,Mathematics,9.06,Dialysis Specialist
M.Sc,Physics,6.19,Lab Technician
M.Sc,Anesthesia Technology,8.82,Chief Anesthesia Tech
M.Tech,Electrical and Electronics Engineering,8.87,Control Systems Lead
B.Sc,Computer Science,7.03,Computer Instructor
B.Tech,Aerospace Engineering,6.13,Quality Inspector
B.Sc,Radiology,9.12,Senior Radiologist
M.Tech,Civil Engineering,8.64,Solutions Architect
B.Sc,Forensic Science,6.33,Evidence Custodian
B.Sc,Optometry,8.92,Crime Scene Investigator
B.Tech,Environmental Engineering,7.23,Waste Manager
M.Tech,Petroleum Engineering,8.53,Reservoir Engineer
M.Sc,Nursing,8.16,Registered Nurse
M.Tech,Mechanical Engineering,8.5,Design Engineer
M.Sc,Mathematics,7.97,Mathematics Professor
B.Sc,Medical Laboratory Technology,8.52,Lab Director
M.Tech,Aerospace Engineering,9.69,Spacecraft Systems Engineer
M.Sc,Dialysis Technology,7.65,Dialysis Technician
M.Tech,Aerospace Engineering,8.77,Spacecraft Systems Engineer
M.Tech,Environmental Engineering,7.69,Sustainability Consultant
B.Sc,Computer Science,7.34,VLSI Engineer
B.Sc,Statistics,8.28,Survey Researcher
M.Tech,Textile Engineering,7.32,Textile Designer
M.Tech,Marine Engineering,9.55,Naval Architect
B.Sc,Radiology,6.6,X-Ray Assistant
B.Tech,Petroleum Engineering,7.38,Site Supervisor
M.Sc,Nursing,8.74,Nurse Practitioner
M.Tech,Mining Engineering,6.78,Forensic Pathologist
M.Tech,Mechanical Engineering,6.82,Maintenance Technician
M.Sc,Nursing,8.1,Eye Consultant
B.Tech,Environmental Engineering,8.19,Environmental Engineer
M.Tech,Electrical and Electronics Engineering,8.58,Control Systems Lead
M.Sc,Electronics,7.48,Testing Assistant
B.Tech,Civil Engineering,7.3,IT Engineer
M.Sc,Computer Science,9.04,Web Developer
M.Tech,Mechanical Engineering,8.57,Design Engineer
M.Sc,Chemistry,7.1,Chemical Assistant
M.Tech,Information Technology,7.94,IT Engineer
B.Tech,Petroleum Engineering,8.12,Drilling Engineer
B.Sc,Physics,6.86,Lab Technician
M.Tech,Electrical and Electronics Engineering,8.31,Electrical Engineer
B.Tech,Mechanical Engineering,6.65,Maintenance Technician
M.Sc,Statistics,9.71,Statistical Modeler
M.Tech,Aerospace Engineering,8.97,Spacecraft Systems Engineer
B.Sc,Medical Laboratory Technology,9.0,Ship Maintenance
M.Sc,Radiology,6.3,X-Ray Assistant
M.Tech,Mining Engineering,6.87,Spacecraft Systems Engineer
B.Sc,Medical Laboratory Technology,9.58,Lab Director
B.Sc,Physics,6.38,Lab Technician
B.Tech,Mechanical Engineering,6.03,Maintenance Technician
B.Tech,Computer Science and Engineering,8.67,AI Engineer
B.Sc,Physics,8.32,Aircraft Maintenance Engineer
B.Tech,Biomedical Engineering,8.97,Medical Device Designer
M.Sc,Statistics,7.37,Data Clerk
B.Tech,Mechanical Engineering,9.86,R&D Engineer
M.Tech,Biotechnology,9.48,Genetic Engineer
B.Sc,Mathematics,7.46,Data Entry Operator
B.Tech,Mining Engineering,6.33,Safety Inspector
M.Tech,Textile Engineering,6.61,Textile Designer
B.Sc,Mathematics,9.83,Actuary
B.Sc,Statistics,9.95,Statistical Modeler
B.Sc,Mathematics,8.8,Actuary
B.Sc,Radiology,6.04,X-Ray Assistant
B.Tech,Biotechnology,6.5,Lab Assistant
B.Tech,Chemical Engineering,9.54,Process Design Engineer
M.Tech,Information Technology,9.94,Solutions Architect
B.Tech,Aerospace Engineering,8.46,Satellite Controller
M.Tech,Marine Engineering,8.35,Marine Engineer
M.Sc,Optometry,6.2,Optical Assistant
M.Sc,Optometry,7.19,Optical Assistant
B.Tech,Electrical and Electronics Engineering,6.73,Maintenance Engineer
M.Tech,Aeronautical Engineering,9.08,Aerodynamics Specialist
M.Tech,Mining Engineering,6.46,Safety Inspector
M.Tech,Aeronautical Engineering,6.64,Technical Writer
B.Tech,Biotechnology,8.97,Senior Scientist
M.Tech,Aerospace Engineering,7.83,Satellite Controller
M.Sc,Mathematics,7.52,Mathematics Professor
B.Sc,Dialysis Technology,8.89,Dialysis Specialist
M.Sc,Operation Theatre Technology,8.48,OT Technician
B.Sc,Operation Theatre Technology,9.44,OT Manager
B.Tech,Computer Science and Engineering,7.0,Technical Support
B.Tech,Mining Engineering,6.26,Safety Inspector
B.Tech,Civil Engineering,7.42,Draftsman
B.Tech,Aerospace Engineering,8.64,Spacecraft Systems Engineer
M.Tech,Marine Engineering,9.87,Naval Architect
M.Tech,Metallurgical Engineering,6.26,Quality Control
M.Tech,Information Technology,6.5,Helpdesk Specialist
M.Sc,Chemistry,6.75,Pharmacologist
M.Tech,Computer Science and Engineering,7.08,Technical Support
M.Sc,Physics,8.83,Astrophysicist
M.Sc,Dialysis Technology,6.49,Health Aide
M.Sc,Chemistry,8.15,Pharmacologist
M.Sc,Dialysis Technology,7.36,Health Aide
M.Sc,Computer Science,7.73,Systems Analyst
M.Sc,Forensic Science,6.85,Evidence Custodian
M.Tech,Chemical Engineering,8.3,Chemical Plant Operator
B.Tech,Textile Engineering,6.15,Textile Designer
B.Tech,Mining Engineering,9.18,Mine Manager
M.Tech,Textile Engineering,8.16,Production Manager
M.Sc,Optometry,7.95,Eye Consultant
M.Tech,Electrical and Electronics Engineering,7.97,Electrical Engineer
M.Tech,Mechanical Engineering,8.76,R&D Engineer
M.Sc,Dialysis Technology,7.81,Dialysis Technician
M.Sc,Statistics,6.46,Environmental Engineer
B.Tech,Civil Engineering,9.34,Urban Planner
B.Tech,Computer Science and Engineering,8.78,AI Engineer
M.Tech,Petroleum Engineering,7.33,Site Supervisor
M.Tech,Marine Engineering,8.56,Naval Architect
M.Sc,Physics,7.0,Chemical Plant Operator
B.Sc,Electronics,6.67,Testing Assistant
M.Sc,Nursing,6.54,Nursing Assistant
B.Tech,Chemical Engineering,8.02,Chemical Plant Operator
B.Tech,Biomedical Engineering,6.0,Equipment Technician
B.Sc,Medical Laboratory Technology,8.37,Medical Lab Technologist
B.Tech,Chemical Engineering,9.85,Process Design Engineer
B.Tech,Textile Engineering,8.99,Fiber Scientist
B.Tech,Petroleum Engineering,6.88,Testing Assistant
M.Sc,Physics,9.12,Quantum Researcher
M.Tech,Mining Engineering,8.15,Extraction Engineer
B.Sc,Mathematics,6.48,Data Entry Operator
M.Tech,Chemical Engineering,6.89,Safety Officer
M.Sc,Computer Science,9.67,Web Developer
B.Tech,Marine Engineering,8.32,Marine Engineer
B.Tech,Electrical and Electronics Engineering,9.98,Control Systems Lead
B.Tech,Chemical Engineering,8.91,Process Design Engineer
M.Tech,Metallurgical Engineering,7.79,Process Metallurgist
B.Sc,Electronics,6.91,Testing Assistant
B.Sc,Chemistry,8.16,Pharmacologist
B.Tech,Mechanical Engineering,6.06,Maintenance Technician
M.Sc,Computer Science,6.64,Environmental Engineer
M.Tech,Electrical and Electronics Engineering,7.11,Maintenance Engineer
M.Sc,Physics,6.14,Lab Technician
B.Tech,Chemical Engineering,7.64,Chemical Plant Operator
M.Sc,Radiology,9.97,Senior Radiologist
M.Tech,Petroleum Engineering,7.78,Drilling Engineer
B.Sc,Mathematics,9.99,Cryptographer
M.Sc,Nursing,9.94,Nurse Manager
B.Tech,Petroleum Engineering,7.77,Drilling Engineer
B.Sc,Nursing,6.22,Nursing Assistant
M.Tech,Information Technology,7.27,Helpdesk Specialist
M.Tech,Aerospace Engineering,9.48,Spacecraft Systems Engineer
B.Sc,Optometry,8.31,Eye Consultant
B.Tech,Mining Engineering,7.84,Extraction Engineer
B.Tech,Aerospace Engineering,8.55,Spacecraft Systems Engineer
M.Tech,Aerospace Engineering,8.44,Satellite Controller
M.Tech,Information Technology,8.87,Cloud Architect
M.Tech,Metallurgical Engineering,6.02,Analytical Chemist
M.Sc,Operation Theatre Technology,8.36,OT Technician
B.Sc,Computer Science,7.94,Systems Analyst
B.Tech,Biomedical Engineering,9.57,Bio-instrumentation Lead
M.Tech,Petroleum Engineering,6.16,Site Supervisor
B.Tech,Electronics and Communication Engineering,8.67,Maintenance Engineer
B.Tech,Petroleum Engineering,8.18,Quality Control
M.Sc,Mathematics,8.3,Mathematics Professor
M.Tech,Computer Science and Engineering,8.92,Data Clerk
B.Sc,Chemistry,9.6,Analytical Chemist
M.Tech,Chemical Engineering,9.62,Process Design Engineer
B.Tech,Textile Engineering,7.27,Textile Designer
M.Sc,Mathematics,8.08,Mathematics Professor
B.Tech,Environmental Engineering,6.5,Waste Manager
B.Sc,Forensic Science,6.04,Evidence Custodian
B.Tech,Chemical Engineering,8.72,Mine Manager
B.Tech,Mining Engineering,7.87,Extraction Engineer
B.Tech,Biotechnology,7.86,Bioprocess Engineer
B.Tech,Mechanical Engineering,9.98,Design Engineer
B.Tech,Petroleum Engineering,6.18,Site Supervisor
M.Sc,Physics,9.82,Quantum Researcher
M.Tech,Chemical Engineering,8.48,Chemical Plant Operator
B.Tech,Marine Engineering,8.71,Naval Architect
M.Sc,Dialysis Technology,9.07,Dialysis Specialist
B.Sc,Computer Science,9.67,Web Developer
M.Sc,Dialysis Technology,7.88,Analytical Chemist
M.Sc,Anesthesia Technology,9.32,Chief Anesthesia Tech
B.Sc,Anesthesia Technology,8.53,Chief Anesthesia Tech
B.Sc,Chemistry,9.06,Analytical Chemist
B.Tech,Aeronautical Engineering,7.58,Aircraft Maintenance Engineer
M.Tech,Civil Engineering,7.15,Draftsman
B.Sc,Electronics,8.93,Circuit Designer
B.Sc,Anesthesia Technology,9.83,Chief Anesthesia Tech
M.Tech,Textile Engineering,9.57,Fiber Scientist
M.Tech,Biotechnology,7.02,Lab Assistant
B.Sc,Dialysis Technology,8.67,Dialysis Specialist
B.Tech,Electrical and Electronics Engineering,8.86,Power Systems Engineer
M.Tech,Environmental Engineering,9.89,Process Design Engineer
M.Sc,Electronics,9.21,Circuit Designer
M.Tech,Mechanical Engineering,7.59,Production Engineer
M.Sc,Chemistry,6.53,Chemical Assistant
M.Sc,Physics,9.03,Quantum Researcher
M.Sc,Nursing,8.69,Nurse Practitioner
B.Sc,Operation Theatre Technology,8.67,OT Manager
M.Tech,Computer Science and Engineering,9.51,AI Engineer
B.Sc,Computer Science,7.05,Computer Instructor
B.Tech,Biomedical Engineering,8.32,Biomedical Engineer
M.Sc,Electronics,8.56,Circuit Designer
B.Tech,Computer Science and Engineering,6.65,Technical Support
B.Tech,Aerospace Engineering,7.46,Safety Inspector
B.Tech,Mining Engineering,9.84,Mine Manager
M.Sc,Anesthesia Technology,7.46,Medical Assistant
M.Tech,Environmental Engineering,8.52,Sustainability Consultant
B.Tech,Computer Science and Engineering,8.07,Software Engineer
M.Tech,Biomedical Engineering,9.5,Medical Device Designer
B.Sc,Anesthesia Technology,8.04,Anesthesia Technician
M.Sc,Operation Theatre Technology,9.07,OT Manager
M.Sc,Operation Theatre Technology,8.91,OT Manager
B.Tech,Computer Science and Engineering,7.54,Software Engineer
B.Sc,Chemistry,9.07,Analytical Chemist
B.Tech,Aeronautical Engineering,8.15,Aircraft Maintenance Engineer
B.Tech,Mechanical Engineering,9.66,R&D Engineer
M.Tech,Chemical Engineering,7.12,Safety Officer
B.Sc,Statistics,6.83,Data Clerk
M.Sc,Statistics,8.47,Survey Researcher
M.Sc,Nursing,8.3,Registered Nurse
M.Sc,Statistics,9.74,Data Analyst
M.Tech,Biomedical Engineering,6.82,Equipment Technician
M.Sc,Nursing,6.98,Nursing Assistant
M.Sc,Radiology,6.79,X-Ray Assistant
B.Sc,Anesthesia Technology,8.03,Anesthesia Technician
M.Tech,Petroleum Engineering,7.99,Drilling Engineer
M.Tech,Textile Engineering,9.37,Fiber Scientist
M.Tech,Aerospace Engineering,9.2,Spacecraft Systems Engineer
B.Sc,Nursing,6.27,Nursing Assistant
B.Tech,Metallurgical Engineering,6.31,Quality Control
M.Tech,Environmental Engineering,7.65,Environmental Engineer
M.Sc,Electronics,7.21,Testing Assistant
M.Sc,Nursing,9.55,Nurse Practitioner
M.Tech,Mechanical Engineering,7.39,Maintenance Technician
M.Sc,Physics,8.94,Quantum Researcher
M.Tech,Computer Science and Engineering,6.5,Technical Support
M.Sc,Anesthesia Technology,8.87,Chief Anesthesia Tech
M.Tech,Environmental Engineering,9.27,Sustainability Consultant
M.Sc,Electronics,6.24,Testing Assistant
B.Tech,Metallurgical Engineering,9.66,Materials Scientist
B.Tech,Metallurgical Engineering,6.22,Quality Control
M.Tech,Metallurgical Engineering,7.7,Process Metallurgist
B.Tech,Marine Engineering,7.58,Chief Anesthesia Tech
B.Tech,Aeronautical Engineering,6.72,Technical Writer
B.Tech,Aeronautical Engineering,8.65,Aerodynamics Specialist
M.Tech,Textile Engineering,7.98,Production Manager
B.Sc,Medical Laboratory Technology,8.16,Medical Lab Technologist
M.Sc,Physics,8.25,Physics Teacher
M.Tech,Mechanical Engineering,6.47,Maintenance Technician
B.Sc,Mathematics,9.51,Actuary
M.Tech,Mining Engineering,6.16,Lab Technician
B.Tech,Chemical Engineering,9.31,Process Design Engineer
M.Sc,Statistics,6.56,Data Clerk
M.Tech,Marine Engineering,7.89,Marine Engineer
M.Sc,Optometry,9.86,Senior Optometrist
M.Sc,Anesthesia Technology,8.22,Anesthesia Technician
M.Sc,Electronics,8.06,Hardware Repair Lead
B.Tech,Aeronautical Engineering,7.78,Aircraft Maintenance Engineer
B.Tech,Environmental Engineering,9.09,Sustainability Consultant
B.Tech,Computer Science and Engineering,6.61,Technical Support
M.Tech,Petroleum Engineering,9.62,Reservoir Engineer
B.Tech,Mining Engineering,6.77,Safety Inspector
M.Tech,Metallurgical Engineering,6.78,Quality Control
M.Sc,Physics,8.29,Physics Teacher
M.Tech,Biotechnology,8.51,Genetic Engineer
B.Tech,Biomedical Engineering,9.09,Bio-instrumentation Lead
B.Sc,Nursing,6.01,Nursing Assistant
M.Tech,Computer Science and Engineering,8.09,Software Engineer
M.Tech,Electronics and Communication Engineering,8.97,VLSI Engineer
M.Tech,Chemical Engineering,7.36,Safety Officer
M.Sc,Anesthesia Technology,6.92,Medical Assistant
B.Sc,Operation Theatre Technology,8.71,OT Manager
B.Sc,Operation Theatre Technology,8.06,OT Technician
M.Sc,Statistics,6.04,Data Clerk
B.Tech,Aerospace Engineering,6.8,Quality Inspector
M.Sc,Operation Theatre Technology,6.81,Surgical Assistant
B.Tech,Civil Engineering,8.61,Structural Engineer
B.Sc,Optometry,9.87,Senior Optometrist
M.Sc,Physics,6.39,Lab Technician
B.Sc,Statistics,6.76,Data Clerk
M.Tech,Civil Engineering,7.31,Draftsman
M.Tech,Petroleum Engineering,7.7,Drilling Engineer
B.Tech,Chemical Engineering,8.5,Process Design Engineer
M.Sc,Anesthesia Technology,8.0,Anesthesia Technician
B.Sc,Forensic Science,8.54,Forensic Pathologist
M.Tech,Information Technology,7.28,Helpdesk Specialist
B.Tech,Textile Engineering,9.11,Fiber Scientist
B.Sc,Physics,6.85,Lab Technician
M.Sc,Computer Science,8.66,Database Admin
B.Tech,Metallurgical Engineering,6.25,Quality Control
M.Tech,Environmental Engineering,7.15,Waste Manager
M.Tech,Biomedical Engineering,8.58,Medical Device Designer
B.Tech,Textile Engineering,6.24,Textile Designer
B.Sc,Computer Science,9.4,Database Admin
M.Sc,Physics,8.12,Senior Optometrist
M.Sc,Forensic Science,9.95,Forensic Pathologist
B.Tech,Aerospace Engineering,6.29,Quality Inspector
M.Sc,Physics,9.63,Quantum Researcher
B.Tech,Metallurgical Engineering,7.31,Quality Control
M.Sc,Chemistry,6.81,Chemical Assistant
M.Sc,Computer Science,9.45,Database Admin
M.Tech,Mechanical Engineering,8.73,R&D Engineer
B.Sc,Operation Theatre Technology,9.94,OT Manager
B.Tech,Mechanical Engineering,6.53,Maintenance Technician
M.Tech,Biotechnology,6.63,Lab Assistant
M.Sc,Radiology,6.16,X-Ray Assistant
M.Sc,Electronics,7.86,Hardware Repair Lead
M.Tech,Environmental Engineering,9.81,Sustainability Consultant
B.Sc,Statistics,7.12,Data Clerk
B.Tech,Computer Science and Engineering,9.89,Mine Manager
M.Sc,Forensic Science,6.62,Control Systems Lead
M.Tech,Metallurgical Engineering,8.3,Process Metallurgist
B.Sc,Medical Laboratory Technology,7.16,Phlebotomist
B.Sc,Nursing,6.37,Web Developer
B.Sc,Statistics,7.82,Survey Researcher
M.Tech,Environmental Engineering,7.42,Waste Manager
B.Sc,Anesthesia Technology,9.43,Cloud Architect
B.Tech,Electronics and Communication Engineering,7.75,Electronics Engineer
M.Tech,Biotechnology,8.35,Bioprocess Engineer
M.Tech,Marine Engineering,9.72,Hardware Repair Lead
B.Tech,Aerospace Engineering,9.04,Spacecraft Systems Engineer
M.Tech,Biotechnology,9.45,Genetic Engineer
M.Sc,Computer Science,9.25,Database Admin
B.Tech,Metallurgical Engineering,9.02,Materials Scientist
M.Tech,Computer Science and Engineering,7.09,Technical Support
B.Sc,Physics,6.78,Lab Technician
B.Tech,Civil Engineering,9.66,Network Technician
M.Tech,Information Technology,7.46,Helpdesk Specialist
B.Tech,Electrical and Electronics Engineering,9.65,Power Systems Engineer
B.Tech,Metallurgical Engineering,6.24,Quality Control
B.Sc,Statistics,8.57,Data Analyst
B.Tech,Biotechnology,8.34,Data Analyst
B.Tech,Environmental Engineering,8.7,Sustainability Consultant
M.Sc,Anesthesia Technology,9.2,Chief Anesthesia Tech
B.Sc,Medical Laboratory Technology,9.25,Lab Director
B.Tech,Textile Engineering,6.03,Textile Designer
M.Tech,Aerospace Engineering,9.3,Spacecraft Systems Engineer
M.Tech,Mechanical Engineering,8.44,Production Engineer
B.Sc,Computer Science,8.68,Web Developer
M.Sc,Mathematics,8.82,Actuary
M.Tech,Aerospace Engineering,7.38,Quality Inspector
M.Tech,Biomedical Engineering,9.31,Bio-instrumentation Lead
M.Sc,Statistics,7.15,Data Clerk
M.Tech,Information Technology,8.76,Cloud Architect
M.Tech,Chemical Engineering,6.85,Safety Officer
M.Tech,Computer Science and Engineering,7.74,Software Engineer
M.Tech,Civil Engineering,7.71,Site Engineer
M.Tech,Metallurgical Engineering,6.38,Quality Control
B.Tech,Marine Engineering,6.3,Ship Maintenance
M.Tech,Mechanical Engineering,8.92,Design Engineer
M.Sc,Electronics,6.65,Testing Assistant
M.Tech,Computer Science and Engineering,8.98,Data Scientist
M.Tech,Electrical and Electronics Engineering,8.23,Electrical Engineer
M.Tech,Mining Engineering,6.83,Software Engineer
M.Sc,Operation Theatre Technology,6.49,Surgical Assistant
B.Tech,Metallurgical Engineering,6.31,X-Ray Assistant
B.Tech,Aeronautical Engineering,8.56,Aerodynamics Specialist
M.Tech,Aerospace Engineering,8.77,Spacecraft Systems Engineer
B.Sc,Chemistry,6.96,Chemical Assistant
B.Sc,Physics,7.41,Lab Technician
B.Tech,Textile Engineering,6.15,Textile Designer
B.Sc,Statistics,7.1,Data Clerk
M.Tech,Aerospace Engineering,6.79,Quality Inspector
M.Tech,Electrical and Electronics Engineering,7.94,Electrical Engineer
B.Tech,Environmental Engineering,6.11,Waste Manager
B.Tech,Computer Science and Engineering,9.3,AI Engineer
M.Sc,Medical Laboratory Technology,6.74,Phlebotomist
M.Tech,Information Technology,6.06,Helpdesk Specialist
B.Sc,Dialysis Technology,8.26,Dialysis Technician
M.Tech,Marine Engineering,6.47,Ship Maintenance
M.Tech,Information Technology,9.72,Cloud Architect
B.Tech,Marine Engineering,7.28,Ship Maintenance
B.Tech,Environmental Engineering,9.49,Sustainability Consultant
M.Sc,Radiology,7.13,X-Ray Assistant
M.Tech,Petroleum Engineering,7.21,Site Supervisor
M.Sc,Chemistry,8.02,Pharmacologist
M.Sc,Computer Science,6.17,Computer Instructor
M.Sc,Operation Theatre Technology,8.9,OT Manager
B.Tech,Electrical and Electronics Engineering,7.22,Maintenance Engineer
B.Sc,Radiology,6.71,X-Ray Assistant
M.Tech,Computer Science and Engineering,9.27,AI Engineer
B.Tech,Mining Engineering,8.73,Mine Manager
M.Tech,Mining Engineering,7.99,Materials Scientist
M.Tech,Petroleum Engineering,8.34,Drilling Engineer
B.Tech,Mining Engineering,6.84,Safety Inspector
M.Tech,Aeronautical Engineering,9.7,Aerodynamics Specialist
B.Sc,Computer Science,8.81,Database Admin
M.Tech,Metallurgical Engineering,8.65,Materials Scientist
M.Tech,Electrical and Electronics Engineering,7.92,Electrical Engineer
B.Sc,Computer Science,6.08,Computer Instructor
B.Tech,Information Technology,7.14,Helpdesk Specialist
M.Tech,Information Technology,6.96,Helpdesk Specialist
B.Tech,Mining Engineering,9.5,Mine Manager
M.Tech,Environmental Engineering,7.41,Waste Manager
M.Tech,Aerospace Engineering,8.74,Spacecraft Systems Engineer
M.Sc,Chemistry,8.46,Pharmacologist
M.Sc,Statistics,8.82,Data Analyst
B.Sc,Radiology,7.48,X-Ray Assistant
M.Tech,Chemical Engineering,8.36,Chemical Plant Operator
M.Tech,Information Technology,9.45,Cloud Architect
M.Tech,Computer Science and Engineering,7.81,Software Engineer
B.Tech,Chemical Engineering,6.87,Safety Officer
M.Sc,Mathematics,6.16,Data Entry Operator
B.Sc,Chemistry,6.42,Chemical Assistant
B.Sc,Electronics,7.34,OT Technician
B.Tech,Information Technology,6.71,Helpdesk Specialist
M.Tech,Mechanical Engineering,6.65,Maintenance Technician
B.Sc,Statistics,6.82,Optical Assistant
B.Sc,Dialysis Technology,6.41,Health Aide
M.Sc,Nursing,8.45,Registered Nurse
M.Tech,Aerospace Engineering,8.35,Satellite Controller
B.Sc,Medical Laboratory Technology,7.06,Phlebotomist
M.Tech,Petroleum Engineering,6.9,Site Supervisor
M.Tech,Marine Engineering,6.48,Ship Maintenance
M.Tech,Aeronautical Engineering,8.3,Maintenance Engineer
B.Tech,Mechanical Engineering,6.73,Maintenance Technician
M.Tech,Metallurgical Engineering,9.42,Electronics Engineer
M.Tech,Biotechnology,6.49,Lab Assistant
B.Tech,Aerospace Engineering,9.64,Spacecraft Systems Engineer
M.Tech,Biotechnology,9.99,Genetic Engineer
B.Sc,Radiology,7.15,X-Ray Assistant
B.Tech,Electrical and Electronics Engineering,7.14,Maintenance Engineer
B.Tech,Metallurgical Engineering,7.1,Ship Maintenance
M.Sc,Mathematics,6.96,Data Entry Operator
B.Tech,Information Technology,7.94,IT Engineer
M.Tech,Electronics and Communication Engineering,6.57,Network Technician
M.Tech,Civil Engineering,6.23,Draftsman
M.Sc,Statistics,6.97,Data Clerk
B.Tech,Electronics and Communication Engineering,8.95,Embedded Systems Lead
M.Tech,Aerospace Engineering,7.88,Satellite Controller
M.Tech,Environmental Engineering,8.66,Sustainability Consultant
M.Tech,Electronics and Communication Engineering,6.45,Senior Radiologist
B.Tech,Mechanical Engineering,8.38,Production Engineer
M.Tech,Textile Engineering,7.47,Textile Designer
B.Sc,Computer Science,7.38,Computer Instructor
M.Tech,Mechanical Engineering,7.39,Maintenance Technician
M.Tech,Environmental Engineering,9.45,Sustainability Consultant
M.Tech,Mechanical Engineering,7.41,Maintenance Technician
M.Sc,Physics,8.92,Quantum Researcher
M.Sc,Radiology,7.73,Radiology Technician
M.Tech,Biotechnology,8.2,Bioprocess Engineer
M.Sc,Forensic Science,8.41,Crime Scene Investigator
M.Sc,Forensic Science,7.05,Evidence Custodian
B.Sc,Computer Science,7.49,Computer Instructor
M.Tech,Computer Science and Engineering,6.92,Technical Support
M.Tech,Chemical Engineering,9.29,Process Design Engineer
M.Sc,Computer Science,8.38,Systems Analyst
B.Sc,Mathematics,7.82,Mathematics Professor
B.Sc,Electronics,9.06,Circuit Designer
M.Sc,Nursing,6.85,Nursing Assistant
B.Sc,Operation Theatre Technology,7.53,OT Technician
B.Sc,Nursing,8.51,Nurse Manager
M.Sc,Forensic Science,7.9,Crime Scene Investigator
M.Tech,Aerospace Engineering,6.85,Testing Assistant
M.Sc,Statistics,7.69,Survey Researcher
B.Sc,Chemistry,9.31,Analytical Chemist
M.Tech,Mechanical Engineering,8.63,Design Engineer
M.Sc,Dialysis Technology,9.89,Dialysis Specialist
